# call qx qy qz carve_dist ground_y above_ground path_m path_measured darkness
296 805.553 26.274 293.453 +1.385981 26.227 1 0.000 0 0.000000
297 805.572 26.284 293.437 +1.379797 26.236 1 0.000 0 0.000000
298 805.572 26.284 293.437 +1.379797 26.236 1 0.000 0 0.000000
299 805.591 26.294 293.421 +1.373604 26.246 1 0.000 0 0.000000
300 805.591 26.294 293.421 +1.373604 26.246 1 0.000 0 0.000000
301 805.610 26.304 293.405 +1.367393 26.256 1 0.000 0 0.000000
302 805.610 26.304 293.405 +1.367393 26.256 1 0.000 0 0.000000
303 805.629 26.314 293.389 +1.361177 26.266 1 0.000 0 0.000000
304 805.629 26.314 293.389 +1.361177 26.266 1 0.000 0 0.000000
305 805.648 26.324 293.373 +1.354939 26.276 1 0.000 0 0.000000
306 805.648 26.324 293.373 +1.354939 26.276 1 0.000 0 0.000000
307 805.667 26.334 293.357 +1.348705 26.286 1 0.000 0 0.000000
308 805.667 26.334 293.357 +1.348705 26.286 1 0.000 0 0.000000
309 805.686 26.344 293.341 +1.342449 26.296 1 0.000 0 0.000000
310 805.686 26.344 293.341 +1.342449 26.296 1 0.000 0 0.000000
311 805.704 26.354 293.325 +1.336189 26.305 1 0.000 0 0.000000
312 805.704 26.354 293.325 +1.336189 26.305 1 0.000 0 0.000000
313 805.723 26.363 293.309 +1.329924 26.315 1 0.000 0 0.000000
314 805.723 26.363 293.309 +1.329924 26.315 1 0.000 0 0.000000
315 805.742 26.373 293.293 +1.323641 26.325 1 0.000 0 0.000000
316 805.742 26.373 293.293 +1.323641 26.325 1 0.000 0 0.000000
317 805.760 26.383 293.277 +1.317343 26.335 1 0.000 0 0.000000
318 805.760 26.383 293.277 +1.317343 26.335 1 0.000 0 0.000000
319 805.779 26.393 293.261 +1.311043 26.345 1 0.000 0 0.000000
320 805.779 26.393 293.261 +1.311043 26.345 1 0.000 0 0.000000
321 805.798 26.403 293.245 +1.304724 26.355 1 0.000 0 0.000000
322 805.798 26.403 293.245 +1.304724 26.355 1 0.000 0 0.000000
323 805.816 26.413 293.229 +1.298399 26.365 1 0.000 0 0.000000
324 805.816 26.413 293.229 +1.298399 26.365 1 0.000 0 0.000000
325 805.835 26.423 293.212 +1.292055 26.375 1 0.000 0 0.000000
326 805.835 26.423 293.212 +1.292055 26.375 1 0.000 0 0.000000
327 805.853 26.433 293.196 +1.285700 26.385 1 0.000 0 0.000000
328 805.853 26.433 293.196 +1.285700 26.385 1 0.000 0 0.000000
329 805.871 26.443 293.180 +1.279339 26.395 1 0.000 0 0.000000
330 805.871 26.443 293.180 +1.279339 26.395 1 0.000 0 0.000000
331 805.890 26.453 293.163 +1.272959 26.405 1 0.000 0 0.000000
332 805.890 26.453 293.163 +1.272959 26.405 1 0.000 0 0.000000
333 805.908 26.464 293.147 +1.266567 26.415 1 0.000 0 0.000000
334 805.908 26.464 293.147 +1.266567 26.415 1 0.000 0 0.000000
335 805.926 26.474 293.131 +1.260168 26.425 1 0.000 0 0.000000
336 805.926 26.474 293.131 +1.260168 26.425 1 0.000 0 0.000000
337 805.945 26.484 293.114 +1.253754 26.435 1 0.000 0 0.000000
338 805.945 26.484 293.114 +1.253754 26.435 1 0.000 0 0.000000
339 805.963 26.494 293.098 +1.247219 26.446 1 0.000 0 0.000000
340 805.963 26.494 293.098 +1.247219 26.446 1 0.000 0 0.000000
341 805.981 26.504 293.081 +1.240728 26.456 1 0.000 0 0.000000
342 805.981 26.504 293.081 +1.240728 26.456 1 0.000 0 0.000000
343 805.999 26.514 293.065 +1.234224 26.466 1 0.000 0 0.000000
344 805.999 26.514 293.065 +1.234224 26.466 1 0.000 0 0.000000
345 806.017 26.524 293.049 +1.227709 26.476 1 0.000 0 0.000000
346 806.017 26.524 293.049 +1.227709 26.476 1 0.000 0 0.000000
347 806.035 26.534 293.032 +1.221186 26.486 1 0.000 0 0.000000
348 806.035 26.534 293.032 +1.221186 26.486 1 0.000 0 0.000000
349 806.054 26.544 293.016 +1.215015 26.496 1 0.000 0 0.000000
350 806.054 26.544 293.016 +1.215015 26.496 1 0.000 0 0.000000
351 806.075 26.554 293.002 +1.209209 26.505 1 0.000 0 0.000000
352 806.075 26.554 293.002 +1.209209 26.505 1 0.000 0 0.000000
353 806.096 26.563 292.988 +1.203802 26.514 1 0.000 0 0.000000
354 806.096 26.563 292.988 +1.203802 26.514 1 0.000 0 0.000000
355 806.118 26.572 292.975 +1.198605 26.523 1 0.000 0 0.000000
356 806.118 26.572 292.975 +1.198605 26.523 1 0.000 0 0.000000
357 806.140 26.581 292.962 +1.193415 26.532 1 0.000 0 0.000000
358 806.140 26.581 292.962 +1.193415 26.532 1 0.000 0 0.000000
359 806.162 26.590 292.949 +1.188213 26.541 1 0.000 0 0.000000
360 806.162 26.590 292.949 +1.188213 26.541 1 0.000 0 0.000000
361 806.184 26.599 292.936 +1.183010 26.550 1 0.000 0 0.000000
362 806.184 26.599 292.936 +1.183010 26.550 1 0.000 0 0.000000
363 806.206 26.608 292.922 +1.177809 26.559 1 0.000 0 0.000000
