# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
2210 0.8317 868.062996 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
2220 0.7283 868.071642 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
2230 0.6513 868.080261 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2240 0.8164 868.088852 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2250 0.7920 868.097538 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2260 0.7513 868.106127 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
2270 0.6867 868.114731 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2280 0.8832 868.123485 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
2290 0.8658 868.132028 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
2300 0.7860 868.140505 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
2310 0.8638 868.149202 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2320 0.8906 868.158048 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
2330 0.7710 868.166560 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2340 0.7638 868.175051 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
2350 0.8402 868.183885 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2360 0.7765 868.192580 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
2370 0.9956 868.201470 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2380 0.8045 868.210020 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
2390 1.5855 868.219434 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2400 1.5917 868.228142 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2410 1.4980 868.236690 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
2420 0.8571 868.245238 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
2430 0.7144 868.253861 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
2440 0.8657 868.262480 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2450 0.8156 868.271194 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
2460 0.7116 868.279812 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2470 0.7113 868.288215 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
2480 0.6440 868.296811 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2490 0.7276 868.305381 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
2500 0.6675 868.314031 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
2510 0.8343 868.322890 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
2520 0.7602 868.331722 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2530 0.7134 868.340173 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
2540 0.8233 868.348663 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2550 0.7120 868.357212 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2560 0.8642 868.366046 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2570 0.7438 868.374502 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
2580 0.7229 868.382989 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2590 0.7352 868.391565 0.000000 1.30900002 128.000000 21.725430 127.900055 0.000000 0.000000
