# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
151 0.000000 0 0.7812 0.5232 0.3407 0.9627 0.3586 0.0000 767.603 22.356 321.402
152 0.000000 0 0.7812 0.5232 0.3407 0.9627 0.3586 0.0000 767.604 22.356 321.403
153 0.000000 0 0.7812 0.5232 0.3407 0.9627 0.3586 0.0000 767.604 22.356 321.403
154 0.000000 0 0.7811 0.5232 0.3407 0.9627 0.3586 0.0000 767.605 22.356 321.404
155 0.000000 0 0.7811 0.5232 0.3407 0.9627 0.3586 0.0000 767.606 22.356 321.404
156 0.000000 0 0.7811 0.5232 0.3407 0.9627 0.3586 0.0000 767.606 22.356 321.405
157 0.000000 0 0.7811 0.5233 0.3407 0.9627 0.3586 0.0000 767.606 22.380 321.406
158 0.000000 0 0.7811 0.5233 0.3407 0.9627 0.3586 0.0000 767.606 22.418 321.408
159 0.000000 0 0.7811 0.5233 0.3407 0.9627 0.3586 0.0000 767.605 22.449 321.409
160 0.000000 0 0.7811 0.5233 0.3407 0.9627 0.3586 0.0000 767.605 22.483 321.410
161 0.000000 0 0.7811 0.5233 0.3407 0.9627 0.3586 0.0000 767.605 22.517 321.412
162 0.000000 0 0.7811 0.5233 0.3407 0.9627 0.3586 0.0000 767.605 22.550 321.413
163 0.000000 0 0.7811 0.5233 0.3407 0.9627 0.3586 0.0000 767.604 22.582 321.414
164 0.000000 0 0.7811 0.5234 0.3407 0.9627 0.3586 0.0000 767.604 22.613 321.416
165 0.000000 0 0.7810 0.5234 0.3407 0.9627 0.3586 0.0000 767.604 22.644 321.417
166 0.000000 0 0.7810 0.5234 0.3407 0.9627 0.3586 0.0000 767.604 22.674 321.418
167 0.000000 0 0.7810 0.5234 0.3406 0.9627 0.3586 0.0000 767.604 22.703 321.420
168 0.000000 0 0.7810 0.5234 0.3406 0.9627 0.3586 0.0000 767.603 22.731 321.421
169 0.000000 0 0.7810 0.5234 0.3406 0.9627 0.3586 0.0000 767.603 22.759 321.422
170 0.000000 0 0.7810 0.5235 0.3406 0.9627 0.3586 0.0000 767.603 22.787 321.423
171 0.000000 0 0.7810 0.5235 0.3406 0.9627 0.3586 0.0000 767.603 22.813 321.424
172 0.000000 0 0.7810 0.5235 0.3406 0.9627 0.3586 0.0000 767.603 22.839 321.426
173 0.000000 0 0.7810 0.5235 0.3406 0.9627 0.3586 0.0000 767.603 22.864 321.427
174 0.000000 0 0.7810 0.5235 0.3406 0.9627 0.3586 0.0000 767.603 22.889 321.428
175 0.000000 0 0.7810 0.5235 0.3406 0.9627 0.3586 0.0000 767.603 22.913 321.429
176 0.000000 0 0.7809 0.5235 0.3406 0.9627 0.3586 0.0000 767.603 22.936 321.430
177 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 767.603 22.958 321.431
178 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 767.603 22.980 321.432
179 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 767.602 23.001 321.433
180 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 767.602 23.021 321.434
181 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 767.603 23.041 321.435
182 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 767.603 23.061 321.436
183 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 767.603 23.078 321.437
184 0.000000 0 0.7809 0.5237 0.3406 0.9627 0.3586 0.0000 767.603 23.097 321.438
185 0.000000 0 0.7809 0.5237 0.3406 0.9627 0.3586 0.0000 767.603 23.114 321.439
186 0.000000 0 0.7809 0.5237 0.3406 0.9627 0.3586 0.0000 767.603 23.129 321.440
187 0.000000 0 0.7808 0.5237 0.3406 0.9627 0.3586 0.0000 767.603 23.146 321.441
188 0.000000 0 0.7808 0.5237 0.3406 0.9627 0.3586 0.0000 767.603 23.160 321.442
