tick,eye_x,eye_y,eye_z,yaw,pitch,hit,distance_m,verb,prompt_key,entity
27,128.1031,21.1007,127.9913,1.4661,0.0000,0,0.0000,0,0,4294967295
28,128.1037,21.1007,127.9966,1.5184,0.0000,0,0.0000,0,0,4294967295
29,128.1040,21.1007,128.0018,1.5708,0.0000,0,0.0000,0,0,4294967295
30,128.1040,21.1007,128.0071,1.6232,0.0000,0,0.0000,0,0,4294967295
31,128.1334,21.0995,128.0157,1.6755,0.0000,0,0.0000,0,0,4294967295
32,128.1624,21.0981,128.0259,1.7279,0.0000,0,0.0000,0,0,4294967295
33,128.1907,21.0965,128.0379,1.7802,0.0000,0,0.0000,0,0,4294967295
34,128.2182,21.0946,128.0515,1.8326,0.0000,0,0.0000,0,0,4294967295
35,128.2450,21.0923,128.0666,1.8850,0.0000,0,0.0000,0,0,4294967295
36,128.2708,21.0897,128.0832,1.9373,0.0000,0,0.0000,0,0,4294967295
37,128.2957,21.0867,128.1012,1.9897,0.0000,0,0.0000,0,0,4294967295
38,128.3195,21.0834,128.1204,2.0420,0.0000,0,0.0000,0,0,4294967295
39,128.3422,21.0799,128.1409,2.0944,0.0000,0,0.0000,0,0,4294967295
40,128.3638,21.0762,128.1625,2.1468,0.0000,0,0.0000,0,0,4294967295
41,128.3841,21.0724,128.1852,2.1991,0.0000,0,0.0000,0,0,4294967295
42,128.4033,21.0687,128.2087,2.2515,0.0000,0,0.0000,0,0,4294967295
43,128.4212,21.0651,128.2332,2.3038,0.0000,0,0.0000,0,0,4294967295
44,128.4378,21.0617,128.2585,2.3562,0.0000,0,0.0000,0,0,4294967295
45,128.4532,21.0586,128.2844,2.4086,0.0000,0,0.0000,0,0,4294967295
46,128.4672,21.0559,128.3111,2.4609,0.0000,0,0.0000,0,0,4294967295
47,128.4799,21.0536,128.3383,2.5133,0.0000,0,0.0000,0,0,4294967295
48,128.4914,21.0519,128.3660,2.5656,0.0000,0,0.0000,0,0,4294967295
49,128.5015,21.0506,128.3943,2.6180,0.0000,0,0.0000,0,0,4294967295
50,128.5102,21.0499,128.4229,2.6704,0.0000,0,0.0000,0,0,4294967295
51,128.5177,21.0496,128.4518,2.7227,0.0000,0,0.0000,0,0,4294967295
52,128.5237,21.0498,128.4811,2.7751,0.0000,0,0.0000,0,0,4294967295
53,128.5284,21.0504,128.5106,2.8274,0.0000,0,0.0000,0,0,4294967295
54,128.5318,21.0513,128.5402,2.8798,0.0000,0,0.0000,0,0,4294967295
55,128.5337,21.0522,128.5700,2.9322,0.0000,0,0.0000,0,0,4294967295
56,128.5343,21.0532,128.5999,2.9845,0.0000,0,0.0000,0,0,4294967295
57,128.5335,21.0543,128.6299,3.0369,0.0000,0,0.0000,0,0,4294967295
58,128.5312,21.0544,128.6597,3.0892,0.0000,0,0.0000,0,0,4294967295
59,128.5275,21.0547,128.6895,3.1416,0.0000,0,0.0000,0,0,4294967295
60,128.5259,21.0547,128.7195,3.1665,0.0000,0,0.0000,0,0,4294967295
61,128.5269,21.0542,128.7496,3.1665,0.0000,0,0.0000,0,0,4294967295
62,128.5279,21.0533,128.7797,3.1665,0.0000,0,0.0000,0,0,4294967295
63,128.5290,21.0518,128.8098,3.1665,0.0000,0,0.0000,0,0,4294967295
64,128.5302,21.0498,128.8399,3.1665,0.0000,0,0.0000,0,0,4294967295
65,128.5313,21.0472,128.8700,3.1665,0.0000,0,0.0000,0,0,4294967295
66,128.5324,21.0440,128.9001,3.1665,0.0000,0,0.0000,0,0,4294967295
67,128.5335,21.0404,128.9302,3.1665,0.0000,0,0.0000,0,0,4294967295
68,128.5345,21.0363,128.9603,3.1665,0.0000,0,0.0000,0,0,4294967295
69,128.5354,21.0320,128.9904,3.1665,0.0000,0,0.0000,0,0,4294967295
70,128.5363,21.0273,129.0205,3.1665,0.0000,0,0.0000,0,0,4294967295
71,128.5370,21.0226,129.0506,3.1666,0.0000,0,0.0000,0,0,4294967295
72,128.5376,21.0179,129.0807,3.1666,0.0000,0,0.0000,0,0,4294967295
73,128.5381,21.0132,129.1107,3.1666,0.0000,0,0.0000,0,0,4294967295
74,128.5385,21.0088,129.1408,3.1666,0.0000,0,0.0000,0,0,4294967295
75,128.5387,21.0047,129.1709,3.1666,0.0000,0,0.0000,0,0,4294967295
76,128.5387,21.0011,129.2010,3.1666,0.0000,0,0.0000,0,0,4294967295
77,128.5385,20.9979,129.2311,3.1666,0.0000,0,0.0000,0,0,4294967295
78,128.5382,20.9954,129.2611,3.1666,0.0000,0,0.0000,0,0,4294967295
79,128.5377,20.9934,129.2912,3.1666,0.0000,0,0.0000,0,0,4294967295
80,128.5369,20.9920,129.3212,3.1666,0.0000,0,0.0000,0,0,4294967295
